propuesta,plan,actualizado,nombre_largo,total_materias
CC-AUEN-P,1995a,Plan viejo,,
CC-AUEN-P,1995c,Plan viejo,,
CC-AUEN-P,1995,Plan viejo,,
CC-GTUR-P,2003,Plan viejo,,
CI-EEYN-P,CPU,Plan viejo,,
CI-EEYN-P,2013,Plan Nuevo,,
CI-GUIA-P,CI-CPUG-P,Plan Nuevo,,
CI-LTUR-P,CPU,Plan Viejo,,
CI-LTUR-P,2016,Plan Nuevo,(LI-LTUR-P) Licenciatura en Turismo,35
CI-MPCC-P,1,Plan Nuevo,,
CP-CCCP-PC,2004,Plan Viejo,(CP-CCCP-PC) Contador Público,50
CP-CCCP-PC,2004-V2,Plan Viejo,(CP-CCCP-PC) Contador Público,50
CP-CCCP-PC,2021-V1,Plan Nuevo,(CP-CCCP-PC) Contador Público,41
DI-AGTI-P,2013,Plan Nuevo,,
DI-DDMP-P,2015,Plan Nuevo,,
DI-DSGT-P,2016,Plan Nuevo,,
DI-EAES-P,39/11,Plan Nuevo,,
ES-EEDT-P,2008,Plan Nuevo,,
ES-EGTI-P,2014,Plan Nuevo,,
ES-EGTI-P,2009,Plan Nuevo,,
LI-LAGE-P,1997A,Plan Viejo,(LI-LAGE-P) Licenciatura en Administración y Gestión Empresarial,42
LI-LAGE-P,1995,Plan Viejo,(LI-LAGE-P) Licenciatura en Administración y Gestión Empresarial,42
LI-LAGE-P,1995c,Plan Viejo,(LI-LAGE-P) Licenciatura en Administración y Gestión Empresarial,42
LI-LAGE-P,1994,Plan Viejo,(LI-LAGE-P) Licenciatura en Administración y Gestión Empresarial,42
LI-LAGE-P,1995a,Plan Viejo,(LI-LAGE-P) Licenciatura en Administración y Gestión Empresarial,42
LI-LAGE-P,2015,Plan Nuevo,(LI-LAGE-P) Licenciatura en Administración y Gestión Empresarial,35
LI-LECO-P,1995a,Plan Viejo,(LI-LECO-P) Licenciatura en Economía,42
LI-LECO-P,1995,Plan Viejo,(LI-LECO-P) Licenciatura en Economía,42
LI-LECO-P,1995c,Plan Viejo,(LI-LECO-P) Licenciatura en Economía,42
LI-LECO-P,2015,Plan Nuevo,(LI-LECO-P) Licenciatura en Economía,35
LI-LECO-P,1994,Plan Viejo,(LI-LECO-P) Licenciatura en Economía,42
LI-LECO-P,1997A,Plan Viejo,(LI-LECO-P) Licenciatura en Economía,42
LI-LTUR-P,2016,Plan Nuevo,(LI-LTUR-P) Licenciatura en Turismo,35
LI-LTUR-P,2003A,Plan Viejo,(LI-LTUR-P) Licenciatura en Turismo,44
MA-ESOL-P,2010,Plan Nuevo,,
MA-FINA-P,MA-FINA-P,Plan Nuevo,,
MA-MEDT-P,2013,Plan Nuevo,,
MA-MEDT-P,2008,Plan Viejo,,
PR-MPCC-P,1,Plan Nuevo,,21